 -0.0091481153, 0.069591351, 0.0062638912;
 -0.0056244587, -0.059316397, -0.05010682;
 -0.0034076013, -0.06843625, 0.082164213;
 -0.026286034, -0.1254289, 0.25069189;
 0.010347573, -0.042953979, 0.11548971;
 -0.025183152, -0.10905518, 0.13435994;
 -0.071390502, -0.19354731, 0.38015005;
 0.053972341, 0.0069550662, 0.21121968;
 -0.24465193, -0.21225473, 0.39628312;
 0.012465577, -0.075670794, 0.22183178;
 0.039175101, 0.039976396, 0.14347218;
 5.9159888e-006, -0.068507567, 0.12457912;
 0.062695578, 0.10208245, 0.18178727;
 -0.020404052, -0.1226202, -0.025239212;
 0.0018411162, 0.099778496, 0.049867108;
 0.0018935428, -0.15813296, 0.38871646;
 -0.026574036, -0.11191087, 0.15879129;
 0.015203974, -0.049735039, 0.16192916;
 -0.032603253, -0.11949581, 0.099987648;
 0.016319171, -0.070712231, 0.22173955;
 -0.00093875523, 0.056988955, 0.020926178;
 0.043214966, 0.046859223, 0.15159597;
 0.026330858, -0.035231456, 0.17992283;
 0.0072504063, -0.030447509, 0.065653428;
 0.10072894, -0.38973802, -0.49537414;
 -0.072251081, -0.15529631, 0.22760849;
 0.014831414, -0.048486751, 0.15657251;
 -0.012985745, 0.097502582, 0.016505504;
 -0.034121033, -0.12992297, 0.044738971;
 -0.0020662257, -0.012051828, -0.014999944;
 -0.083115809, -0.16216762, 0.23607254;
 -0.042114642, -0.12875324, 0.16233519;
 -0.20906787, -0.21339795, 0.38298011;
 -0.034155395, -0.12105631, 0.10581276;
 -0.15926136, -0.19228189, 0.20295966;
 0.0041549173, -0.078896843, 0.19425607;
 -0.056805652, -0.15039876, 0.26416081;
 0.030532803, -0.067220978, 0.25841862;
 -0.0031263048, -0.25871935, -0.23274821;
 -0.070320025, -0.15300454, 0.20955226;
 -0.041888323, -0.13018179, 0.1962738;
 0.021423128, 0.023216516, 0.092696682;
 0.045798566, 0.084074624, 0.14772339;
 0.012455432, -0.10411485, 0.29415038;
 0.00012887786, -0.029640868, 0.014264223;
 0.089371257, -0.37700936, -0.47386482;
 0.071470223, 0.030547764, 0.23308572;
 0.0054142163, -0.041599244, 0.074136667;
 -0.16534668, -0.19164537, 0.23315503;
 -0.031144347, -0.11790802, 0.094585478;
 0.0071089282, -0.032585811, 0.068244494;
 0.039042205, 0.054198831, 0.1370566;
 0.00042265526, -0.038158104, 0.016671566;
 -0.046420194, -0.18273138, 0.38246918;
 -0.2181823, -0.19611037, 0.30679035;
 -0.098467305, -0.18749903, 0.33966851;
 -0.070512317, -0.15273128, 0.17413864;
 0.0040135873, -0.10667711, 0.28037179;
 0.032837529, -0.30874318, -0.33782223;
 0.026777392, -0.074529216, 0.2630806;
 0.13765588, 0.062574171, 0.33248827;
 -0.011877078, -0.13390787, 0.31523713;
 0.0024148708, -0.11546711, 0.2982572;
 0.0033838623, -0.057492916, 0.10733496;
 0.047769845, -0.0020494645, 0.20292909;
 -0.010379533, -0.08526253, 0.0082892496;
 -0.020670118, -0.10232569, 0.11461477;
 0.023505628, -0.026077213, 0.15085568;
 0.038890507, 0.089860268, 0.12062337;
 -0.011606667, 0.024012268, -0.036930338;
 -0.14224854, -0.1987977, 0.1334641;
 -0.036733173, -0.12704785, 0.21004757;
 -0.075986013, -0.16364132, 0.27687937;
 -0.23198025, -0.19388014, 0.28476962;
 -0.13880032, -0.21670623, 0.072267294;
 -0.038206484, -0.19060212, -0.077773176;
 -0.004101065, 0.065331824, 0.017132647;
 -0.011150437, -0.12899508, -0.10085198;
 -0.0037197254, -0.03598623, -0.031044206;
 0.017279174, -0.095359139, 0.28154197;
 -0.060607329, -0.14808296, 0.23040362;
 -0.23142728, -0.21712835, 0.40153253;
